actorId,name,isFemale,categoryType,voiceAge,languageName,countryName,audioSampleLink
108,Ardi,False,Premium,Middle Aged,Indonesian (Indonesia),Indonesia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/a64f7513-a2f0-4feb-8ad1-82a3ec8fb912.mp3
109,Gadis,True,Premium,Middle Aged,Indonesian (Indonesia),Indonesia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/e52ffbd9-ad80-429e-92b1-9cd424efe049.mp3
110,Isabella,True,Premium,Middle Aged,Italian (Italy),Italy,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/e9e3a629-aefe-4cf0-9edf-0056892c92da.mp3
111,Diego,False,Premium,Middle Aged,Italian (Italy),Italy,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/554733e1-a2e0-420c-bdb2-533905c78646.mp3
112,Elsa,True,Premium,Middle Aged,Italian (Italy),Italy,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/b15d3353-62a3-44cc-b0f4-d57d6a6b2007.mp3
113,Nanami,True,Premium,Middle Aged,Japanese (Japan),Japan,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/20a12e24-1217-46a5-bba5-a8ec9e550b43.mp3
114,Keita,False,,,Japanese (Japan),Japan,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/2fb541ee-649e-4a7d-a3df-9b271c32ec19.mp3
115,Sun-hi,True,Premium,Middle Aged,Korean (Korea),Korea,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/33198961-7676-4bc6-b1a2-60d24fa7b9b6.mp3
116,Injoo,False,Premium,Middle Aged,Korean (Korea),Korea,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/c6b5c72d-54c3-44f9-bae3-f7953cb5113e.mp3
117,Leonas,False,Premium,Middle Aged,Lithuanian (Lithuania),Lithuania,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/0bdf04e8-30e3-4fd5-9d35-64ebc2cf5094.mp3
118,Ona,True,Premium,Middle Aged,Lithuanian (Lithuania),Lithuania,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/83ac9328-f71b-48bb-b549-4ddcc2f5aed0.mp3
119,Everita,True,,,Latvian (Latvia),Latvia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/0911b238-d727-428e-88b3-97bed494c349.mp3
120,Nils,False,Premium,Middle Aged,Latvian (Latvia),Latvia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/b2321862-ee30-451c-928f-bed273346801.mp3
121,Aarohi,True,Premium,Middle Aged,Marathi (India),India,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/Missing%20preview%20voice/Aarohi.mp3
122,Manohar,False,Premium,Middle Aged,Marathi (India),India,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/Missing%20preview%20voice/Manohar.mp3
123,Grace,True,Premium,Middle Aged,Maltese (Malta),Malta,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/Missing%20preview%20voice/Grace.mp3
124,Joseph,False,Premium,Middle Aged,Maltese (Malta),Malta,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/Missing%20preview%20voice/Joseph.mp3
125,Pernille,True,Premium,Middle Aged,Norwegian Bokm̴l (Norway),Norway,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/025c8873-861c-42c9-85b4-7842964e2d05.mp3
126,Fin,False,Premium,Middle Aged,Norwegian Bokm̴l (Norway),Norway,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/f84ad2f6-ec42-4f15-b466-853f9876a77f.mp3
127,Iseli,True,Premium,Middle Aged,Norwegian Bokm̴l (Norway),Norway,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/1264970f-372a-4767-b390-fb0ba7d63247.mp3
128,Arnaud,False,Premium,Middle Aged,Dutch (Belgium),Belgium,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/9c23c35b-1de2-4b66-afbf-99282b8bd121.mp3
129,Dena,True,Premium,Middle Aged,Dutch (Belgium),Belgium,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/e5022d67-4999-41fd-ab82-c5cec16e9bc2.mp3
130,Fenna,True,Premium,Middle Aged,Dutch (Netherlands),Netherlands,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/f2446339-a5eb-4646-afb5-2dfbd58be0e2.mp3
131,Maarte,False,,,Dutch (Netherlands),Netherlands,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/dd79f6dd-ae76-46b9-81ef-311bf6333ec1.mp3
132,Agnieszka,True,Premium,Middle Aged,Polish (Poland),Poland,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/87353267-7411-41bb-9022-eb7a64b5c26b.mp3
133,Marek,False,Premium,Middle Aged,Polish (Poland),Poland,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/5f3ab693-b760-4130-9a6b-bbfeeb78fd96.mp3
134,Zofia,True,Premium,Middle Aged,Polish (Poland),Poland,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/b644530b-aa4b-45db-accf-a9a3887d02a5.mp3
